iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x140F15500,hkPseudoRandomGenerator::getRandReal01,,0x142AFCE30,low,2.011,0.074,2 shared rare constants; struct_sim=0.81; demoted: runner-up within 0.07,"float __usercall@<xmm0>(hkPseudoRandomGenerator *this@<rcx>, __int128 _XMM0@<xmm0>)"
0x14BFBC6EB,bdDTLSAssociation::sendError,,0x143740A60,low,2.01,0.015,1 shared string literal; struct_sim=0.46,"void __fastcall(bdDTLSAssociation *this, const bdAddr *addr, const bdSecurityID *secID, const bdDTLSError::bdDTLSErrorType *type)"
0x14C1DDA86,bdDTLSAssociation::sendError,,0x143740A60,low,2.01,0.015,1 shared string literal; struct_sim=0.46,"void __fastcall(bdDTLSAssociation *this, const bdAddr *addr, const bdSecurityID *secID, const bdDTLSError::bdDTLSErrorType *type)"
0x14B30341E,bdUPnPDevice::extractUPnPError,,0x1437278B0,low,2.01,0.207,1 shared string literal; struct_sim=0.47,"char __fastcall(bdUPnPDevice *this, int *errorCode)"
0x140412AA0,LUI_LuaCall_LUIElement_LowResOverlay,,0x1424314C0,low,2.01,0.038,1 shared matched global; 1 shared rare constant; struct_sim=0.74,__int64 __fastcall(lua_State *luaVM)
0x140B2F6F0,CALL_MUNMAP,,0x14380B5B0,low,2.01,2.01,1 shared rare constant; struct_sim=0.67,"__int64 __fastcall(void *ptr, unsigned __int64 size)"
0x140EE7DE0,Scr_AddArrayKeys,,0x141582F40,low,2.009,0.078,2 shared rare constants; struct_sim=0.81; demoted: runner-up within 0.08,"void __fastcall(scrContext_t *scrContext, unsigned int parentId)"
0x140614B90,LUI_CoD_GetMousePosition,,0x14244D420,low,2.009,0.739,1 shared matched global; 1 shared rare constant; struct_sim=0.74,"bool __usercall@<al>(int controllerIndex@<ecx>, float *outX@<rdx>, float *outY@<r8>, __int128 _XMM0@<xmm0>)"
0x14126D37F,bdUpgradeAnonUnoAccRequest::restSerializeRequest,,0x1435B2B80,low,2.008,0.696,1 shared string literal; struct_sim=0.51,"bool __fastcall(bdUpgradeAnonUnoAccRequest *this, bdRESTRequestBuilder *builder)"
0x14BEBB85D,bdUPnPDevice::extractURLBase,,0x143727AE0,low,2.007,2.007,1 shared string literal; struct_sim=0.45,"bool __fastcall(bdUPnPDevice *this, char **baseLoc, unsigned int *baseLen)"
0x14B45AA6B,bdDTLSAssociation::sendData,,0x143740910,low,2.006,0.015,1 shared string literal; struct_sim=0.43,"__int64 __fastcall(bdDTLSAssociation *this, const bdAddr *addr, const void *data, const unsigned int length)"
0x1409DD140,PartyAtomicHost_BroadcastActionResponse,,0x141ADE250,low,2.004,2.004,1 shared string literal; struct_sim=0.51,"void __fastcall(PartyJoinInfo *joinInfo, PartyJoinResponse response, int useMessageHandle)"
0x14B473CA7,bdAddressMap::addrToString,,0x1437522D0,low,2.004,2.004,1 shared string literal; struct_sim=0.31,"unsigned __int64 __fastcall(const bdReference<bdAddrHandle> *addrHandle, char *const str, const unsigned __int64 size)"
0x140E54710,RB_DrawQuadPicInternal,,0x1423B55B0,low,2.004,0.023,2 shared rare constants; struct_sim=0.80; demoted: runner-up within 0.02,"void __usercall(const GfxRenderCommandExecState *execState@<rcx>, const GfxCmdDrawQuadPic *cmd@<rdx>, __int128 *__struct_ptr _XMM6@<xmm6>)"
